SPONSOR,CATEGORY,AIRDATE,AIRTIME,PROGRAM,AFFILIATION,TONE
"PRYOR, MARK",US SENATE,20130606,1851,THV11 NEWS AT 6:30,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0546,THV11 THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0621,THV11 THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,2148,ELEMENTARY-CBS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,2225,THV11 NEWS AT 10,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1217,THV11 NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1725,THV11 NEWS AT 5,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0857,CBS THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,2319,TONIGHT SHOW/JAY LENO,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,0554,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,0621,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,1724,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,1822,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,0721,TODAY SHOW,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,1652,JUDGE JUDY,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,1720,FAMILY FEUD,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,1721,CHANNEL 7 NEWS LIVE AT 5,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,1819,CHANNEL 7 NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,2231,CHANNEL 7 NEWS NIGHTSIDE,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,0522,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,0629,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,1842,WHEEL OF FORTUNE,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,0959,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,0841,GOOD MORNING AMERICA,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,0755,GOOD MORNING AMERICA,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,0758,CBS THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,0827,CBS THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,1655,JEOPARDY,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,1826,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,1709,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,0520,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,0627,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,0552,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,1211,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,2254,LATE SHOW/DAVID LTTRMN,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,2233,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,1854,WHEEL OF FORTUNE,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,2132,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,1720,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,2215,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130607,2120,FOX 16 NEWS AT 9:00PM,DEMOCRAT,POSITIVE
