DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/10/2016,14:48,BROOKLYN,11228,40.6262952,-74.0157068,"(40.6262952, -74.0157068)",FT HAMILTON PARKWAY,74 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3368726,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/10/2016,14:50,BROOKLYN,11212,40.6612043,-73.9243194,"(40.6612043, -73.9243194)",EAST 94 STREET,WINTHROP STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3368715,SPORT UTILITY / STATION WAGON,,,,
01/10/2016,14:50,BROOKLYN,11215,40.6770794,-73.986311,"(40.6770794, -73.986311)",CARROLL STREET,3 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368226,PICK-UP TRUCK,OTHER,,,
01/10/2016,14:50,BROOKLYN,11234,40.6341296,-73.9285006,"(40.6341296, -73.9285006)",KINGS HIGHWAY,UTICA AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3368686,SPORT UTILITY / STATION WAGON,BUS,,,
01/10/2016,14:55,BROOKLYN,11218,40.6355144,-73.980843,"(40.6355144, -73.980843)",16 AVENUE,41 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Reaction to Other Uninvolved Vehicle,,,,3368129,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/10/2016,14:55,MANHATTAN,10002,40.7159536,-73.9867215,"(40.7159536, -73.9867215)",GRAND STREET,CLINTON STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3367946,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/10/2016,14:59,,,40.6056732,-74.0309361,"(40.6056732, -74.0309361)",,,,5,0,0,0,0,0,5,0,Fatigued/Drowsy,Unspecified,Unspecified,Unspecified,,3368156,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
01/10/2016,15:00,QUEENS,11364,40.7411699,-73.7625197,"(40.7411699, -73.7625197)",69 AVENUE,212 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3368377,SPORT UTILITY / STATION WAGON,,,,
01/10/2016,15:00,QUEENS,11433,40.7012671,-73.7881564,"(40.7012671, -73.7881564)",105 AVENUE,169 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Backing Unsafely,,,,3368273,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,15:00,,,,,,EAST 8 STREET,FOSTER AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368170,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,15:00,BROOKLYN,11234,40.6194848,-73.9182647,"(40.6194848, -73.9182647)",AVENUE N,EAST 59 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3368688,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/10/2016,15:00,BRONX,10451,40.8246333,-73.9105876,"(40.8246333, -73.9105876)",WASHINGTON AVENUE,EAST 163 STREET,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3369219,TAXI,PASSENGER VEHICLE,,,
01/10/2016,15:05,MANHATTAN,10002,40.7144625,-73.98165,"(40.7144625, -73.98165)",GRAND STREET,COLUMBIA STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3367947,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,15:05,,,,,,63 AVENUE,GRAND CENTRAL PARKWAY N SVC RD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368381,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
