DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/01/2016,5:04,BRONX,10467,40.8773934,-73.8664909,"(40.8773934, -73.8664909)",EAST GUN HILL ROAD,WHITE PLAINS ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3363723,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,5:00,,,40.767373,-73.9500574,"(40.767373, -73.9500574)",,,,3,0,0,0,0,0,3,0,Turning Improperly,Fatigued/Drowsy,Fatigued/Drowsy,Fatigued/Drowsy,Other Electronic Device,3364071,TAXI,PASSENGER VEHICLE,LIVERY VEHICLE,LIVERY VEHICLE,LIVERY VEHICLE
01/01/2016,5:00,BRONX,10457,40.8456427,-73.9020981,"(40.8456427, -73.9020981)",WEBSTER AVENUE,EAST 175 STREET,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,,,,3363443,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,5:00,,,,,,CROPSEY AVENUE,SHORE PARKWAY,,0,0,0,0,0,0,0,0,Unspecified,,,,,3363750,PASSENGER VEHICLE,OTHER,,,
01/01/2016,5:00,QUEENS,11373,40.738325,-73.8855916,"(40.738325, -73.8855916)",QUEENS BOULEVARD,ALBION AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3363578,TAXI,SPORT UTILITY / STATION WAGON,,,
01/01/2016,5:00,BROOKLYN,11234,40.6283496,-73.9249546,"(40.6283496, -73.9249546)",AVENUE J,EAST 53 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3363486,PICK-UP TRUCK,UNKNOWN,,,
01/01/2016,5:00,BROOKLYN,11211,40.7097167,-73.952359,"(40.7097167, -73.952359)",SOUTH 2 STREET,HOOPER STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,,3363863,UNKNOWN,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
01/01/2016,5:00,BRONX,10461,40.8429066,-73.8428365,"(40.8429066, -73.8428365)",BLONDELL AVENUE,ROBERTS AVENUE,,0,0,0,0,0,0,0,0,Failure to Keep Right,Unspecified,Unspecified,,,3363436,PASSENGER VEHICLE,PASSENGER VEHICLE,VAN,,
01/01/2016,4:45,QUEENS,11434,40.6804242,-73.7714719,"(40.6804242, -73.7714719)",172 STREET,127 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3363588,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,4:45,QUEENS,11421,40.6932632,-73.8532358,"(40.6932632, -73.8532358)",JAMAICA AVENUE,92 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3363542,TAXI,SPORT UTILITY / STATION WAGON,,,
